Щастислав,Корнієць,shchastyslavkorniiets@gmail.com,264087.0,10,C,C,A
Ксенія,Лесько,kseniialesko@gmail.com,262525.0,10,B,B,A
Льоля,Барбон,loliabarbon@gmail.com,261966.0,14,B,B,A
Чеслава,Ткаченко,cheslavatkachenko@gmail.com,258070.0,7,C,C,A
Гордослав,Кудрик,hordoslavkudryk@gmail.com,252899.0,8,C,A,A
Петро,Гречаник,petrohrechanyk@gmail.com,250990.0,8,C,A,A
Людомил,Примаченко,liudomylprymachenko@gmail.com,247964.0,14,B,B,A
Лютобор,Демчина,liutobordemchyna@gmail.com,244401.0,10,B,A,A
Наслава,Воронченко,naslavavoronchenko@gmail.com,242648.0,10,B,B,A
Єфросинія,Боберська,yefrosyniiaboberska@gmail.com,241625.0,11,C,C,A
Щедрогост,Луняк,shchedrohostluniak@gmail.com,240726.0,14,C,B,A
Бажан,Демиденко,bazhandemydenko@gmail.com,240169.0,13,C,C,A
Йосифата,Калинович,yosyfatakalynovych@gmail.com,239702.0,13,C,B,A
Євфросинія,Киянченко,yevfrosyniiakyianchenko@gmail.com,237567.0,10,B,B,A
Чеслава,Драк,cheslavadrak@gmail.com,234886.0,13,C,C,A
Кароліна,Кудрицька,karolinakudrytska@gmail.com,232687.0,8,A,B,A
Ходота,Бандровський,khodotabandrovskyi@gmail.com,227430.0,10,A,B,A
Микита,Семенець,mykytasemenets@gmail.com,226760.0,13,C,C,A
Любов,Куценко,liubovkutsenko@gmail.com,225362.0,10,B,B,B
Щедра,Козій,shchedrakozii@gmail.com,223972.0,13,B,B,B
Щек,Куліш,shchekkulish@gmail.com,223462.0,14,A,B,B
Аркадій,Гавришкевич,arkadiihavryshkevych@gmail.com,220380.0,8,C,C,B
Конон,Романів,kononromaniv@gmail.com,217901.0,14,A,A,B
Чесмил,Янішевський,chesmylyanishevskyi@gmail.com,216568.0,5,B,B,B
Тарас,Тоцький,tarastotskyi@gmail.com,216517.0,16,A,B,B
Творилад,Пласконіс,tvoryladplaskonis@gmail.com,215533.0,7,B,B,B
Назарій,Шейко,nazariisheiko@gmail.com,213103.0,13,A,C,B
Хриса,Бутрим,khrysabutrym@gmail.com,204005.0,7,C,B,B
Остромир,Московченко,ostromyrmoskovchenko@gmail.com,203633.0,11,C,B,B
Лілія,Романишин,liliiaromanyshyn@gmail.com,203508.0,14,B,A,B
Явір,Уляницький,yavirulianytskyi@gmail.com,202198.0,11,B,C,B
Олеся,Караванська,olesiakaravanska@gmail.com,199845.0,8,C,C,B
Житомир,Іконников,zhytomyrikonnykov@gmail.com,199326.0,14,C,B,B
Ждана,Островерха,zhdanaostroverkha@gmail.com,197455.0,13,A,B,B
Творимира,Палієнко,tvorymyrapaliienko@gmail.com,192048.0,11,B,C,B
Шушана,Лящук,shushanaliashchuk@gmail.com,189537.0,8,C,C,B
Яромил,Жежерін,yaromylzhezherin@gmail.com,189099.0,10,A,A,B
Євфросинія,Вольвач,yevfrosyniiavolvach@gmail.com,186316.0,4,A,A,B
Віталіна,Пучко,vitalinapuchko@gmail.com,185603.0,7,C,C,B
Тіна,Романченко,tinaromanchenko@gmail.com,183503.0,8,C,C,B
Ігорина,Царук,ihorynatsaruk@gmail.com,181671.0,11,C,B,B
Жадана,Запорожченко,zhadanazaporozhchenko@gmail.com,177638.0,13,A,C,B
Дзвенимира,Андоленко,dzvenymyraandolenko@gmail.com,166231.0,8,B,B,B
Євлампій,Бемер,yevlampiibemer@gmail.com,165650.0,14,A,B,B
Арсен,Сиволап,arsensyvolap@gmail.com,164696.0,7,B,B,B
Павло,Ковальський,pavlokovalskyi@gmail.com,160228.0,11,B,C,B
Колодара,Мамай,kolodaramamai@gmail.com,158863.0,10,B,B,B
Нінель,Носаченко,ninelnosachenko@gmail.com,157974.0,10,A,A,B
Серафима,Басок,serafymabasok@gmail.com,155890.0,8,A,A,B
Юдит,Борецька,yudytboretska@gmail.com,154123.0,7,C,C,B
Йовілла,Мартинюк,yovillamartyniuk@gmail.com,148663.0,11,B,C,B
Афанасій,Морачевський,afanasiimorachevskyi@gmail.com,148358.0,10,B,B,B
Аглая,Прядун,ahlaiapriadun@gmail.com,146467.0,11,C,B,B
Уляна,Балей,ulianabalei@gmail.com,137191.0,13,B,B,B
Цвітана,Кухарчук,tsvitanakukharchuk@gmail.com,134689.0,7,C,C,B
Устим,Радчук,ustymradchuk@gmail.com,129112.0,8,C,A,B
Ростислава,Верхратська,rostyslavaverkhratska@gmail.com,127444.0,7,B,C,B
Уляна,Твердохліб,ulianatverdokhlib@gmail.com,124683.0,7,C,C,B
Магадар,Кубів,mahadarkubiv@gmail.com,120893.0,5,B,C,B
Щедрогост,Лисянський,shchedrohostlysianskyi@gmail.com,119830.0,4,C,C,B
Шаміль,Чикаленко,shamilchykalenko@gmail.com,118254.0,7,A,A,B
Захарій,Удовиченко,zakhariiudovychenko@gmail.com,114805.0,8,C,C,B
Боримир,Данильчук,borymyrdanylchuk@gmail.com,112935.0,8,B,A,B
Магдалена,Пучковська,mahdalenapuchkovska@gmail.com,110772.0,2,A,A,B
Христина,Янушевич,khrystynayanushevych@gmail.com,109324.0,8,A,A,B
Йомер,Кравчук,yomerkravchuk@gmail.com,108016.0,7,A,A,B
якевич,Крип,РостуняYAKEVYCHkryp@gmail.com,107160.0,7,C,B,C
Щедра,Сенченко,shchedrasenchenko@gmail.com,104252.0,7,C,C,C
Святолюба,Шеренгова,sviatoliubasherenhova@gmail.com,98683.0,4,B,A,C
Євфросинія,Мулярчук,yevfrosyniiamuliarchuk@gmail.com,96661.0,2,A,A,C
Мир,Левків,myrlevkiv@gmail.com,95182.0,10,A,B,C
Шарль,Таранюк,sharltaraniuk@gmail.com,94337.0,7,B,B,C
Незабудка,Запорожченко,nezabudkazaporozhchenko@gmail.com,92118.0,5,B,A,C
Яровид,Сивокінь,yarovydsyvokin@gmail.com,88779.0,4,C,C,C
Едуард,Грабовець,eduardhrabovets@gmail.com,85373.0,4,B,A,C
Людомил,Винар,liudomylvynar@gmail.com,84646.0,4,A,A,C
Шерлок,Горинь,sherlokhoryn@gmail.com,84325.0,7,B,C,C
Огняна,Біденко,ohnianabidenko@gmail.com,83266.0,7,B,B,C
Гелена,Которович,helenakotorovych@gmail.com,81740.0,4,C,A,C
Царко,Бубнюк,tsarkobubniuk@gmail.com,81232.0,4,C,C,C
Анастасій,Сереженко,anastasiiserezhenko@gmail.com,79599.0,5,A,A,C
Іларіон,Маренич,ilarionmarenych@gmail.com,79283.0,5,A,A,C
Ярослава,Пестушко,yaroslavapestushko@gmail.com,78218.0,4,A,A,C
Віта,Вітченко,vitavitchenko@gmail.com,78153.0,4,A,A,C
Афанасій,Мізецький,afanasiimizetskyi@gmail.com,75031.0,4,B,A,C
Ростун,Пошивайло,rostunposhyvailo@gmail.com,72619.0,5,C,C,C
Зборислав,Хряпа,zboryslavkhriapa@gmail.com,70646.0,7,A,B,C
Тур,Чубенко,turchubenko@gmail.com,63167.0,4,B,A,C
Гнат,Даниш,hnatdanysh@gmail.com,62798.0,5,B,A,C
Афанасій,Новосад,afanasiinovosad@gmail.com,61745.0,5,B,B,C
Цвітана,Дмитріюк,tsvitanadmytriiuk@gmail.com,57480.0,4,A,A,C
Надій,Богуцький,nadiibohutskyi@gmail.com,56833.0,2,C,C,C
Христина,Гісем,khrystynahisem@gmail.com,54622.0,4,C,A,C
Йосеф,Гребенюк,yosefhrebeniuk@gmail.com,50098.0,4,B,A,C
Кузьма,Бабешко,kuzmababeshko@gmail.com,50039.0,8,B,A,C
Худан,Самокиш,khudansamokysh@gmail.com,47236.0,4,B,A,C
Любомир,Боярчук,liubomyrboiarchuk@gmail.com,46936.0,5,B,B,C
Богуслава,Долинська,bohuslavadolynska@gmail.com,40073.0,2,B,A,C
Шушана,Старовойт,shushanastarovoit@gmail.com,38786.0,4,A,A,C
Жозефіна,Павликовська,zhozefinapavlykovska@gmail.com,35535.0,4,B,A,C
Царук,Дзюбенко,tsarukdziubenko@gmail.com,31791.0,5,B,C,C
Есфір,Дивак,esfirdyvak@gmail.com,27713.0,2,B,A,C
Остромир,Зволінський,ostromyrzvolinskyi@gmail.com,25760.0,2,A,A,C
Йовілла,Бунечко,yovillabunechko@gmail.com,20342.0,2,C,C,C
Зорегляда,Приведа,zorehliadapryveda@gmail.com,18643.0,5,B,A,C
Атена,Берегуляк,atenaberehuliak@gmail.com,18390.0,2,C,C,C
Еразм,Тертишний,erazmtertyshnyi@gmail.com,16466.0,1,A,A,C
Мальва,Калинович,malvakalynovych@gmail.com,5695.0,1,C,A,C
Броніслава,Мочурад,bronislavamochurad@gmail.com,3998.0,1,A,A,C
Віргінія,Балог,virhiniiabaloh@gmail.com,3297.0,1,C,C,C
Кузьма,Турула,kuzmaturula@gmail.com,2880.0,1,A,A,C
Назарій,Юрченко,nazariiyurchenko@gmail.com,1037.0,1,A,A,C
